dteday,hr,instant,casual,registered,cnt,interpolated
2011-01-01,0,1,3,13,16,False
2011-01-01,1,2,8,32,40,False
2011-01-01,2,3,5,27,32,False
2011-01-01,3,4,3,10,13,False
2011-01-01,4,5,0,1,1,False
2011-01-01,5,6,0,1,1,False
2011-01-01,6,7,2,0,2,False
2011-01-01,7,8,1,2,3,False
2011-01-01,8,9,1,7,8,False
2011-01-01,9,10,8,6,14,False
2011-01-01,10,11,12,24,36,False
2011-01-01,11,12,26,30,56,False
2011-01-01,12,13,29,55,84,False
2011-01-01,13,14,47,47,94,False
2011-01-01,14,15,35,71,106,False
2011-01-01,15,16,40,70,110,False
2011-01-01,16,17,41,52,93,False
2011-01-01,17,18,15,52,67,False
2011-01-01,18,19,9,26,35,False
2011-01-01,19,20,6,31,37,False
2011-01-01,20,21,11,25,36,False
2011-01-01,21,22,3,31,34,False
2011-01-01,22,23,11,17,28,False
2011-01-01,23,24,15,24,39,False
2011-01-02,0,25,4,13,17,False
2011-01-02,1,26,1,16,17,False
2011-01-02,2,27,1,8,9,False
2011-01-02,3,28,2,4,6,False
2011-01-02,4,29,2,1,3,False
2011-01-02,5,30,1,18,19,True
2011-01-02,6,31,0,2,2,False
2011-01-02,7,32,0,1,1,False
2011-01-02,8,33,0,8,8,False
2011-01-02,9,34,1,19,20,False
2011-01-02,10,35,7,46,53,False
2011-01-02,11,36,16,54,70,False
2011-01-02,12,37,20,73,93,False
2011-01-02,13,38,11,64,75,False
2011-01-02,14,39,4,55,59,False
2011-01-02,15,40,19,55,74,False
2011-01-02,16,41,9,67,76,False
2011-01-02,17,42,7,58,65,False
2011-01-02,18,43,10,43,53,False
2011-01-02,19,44,1,29,30,False
2011-01-02,20,45,5,17,22,False
2011-01-02,21,46,11,20,31,False
2011-01-02,22,47,0,9,9,False
2011-01-02,23,48,0,8,8,False
2011-01-03,0,49,0,5,5,False
2011-01-03,1,50,0,2,2,False
2011-01-03,2,51,5,18,23,True
2011-01-03,3,52,3,9,12,True
2011-01-03,4,53,0,1,1,False
2011-01-03,5,54,0,3,3,False
2011-01-03,6,55,0,30,30,False
2011-01-03,7,56,1,63,64,False
2011-01-03,8,57,1,153,154,False
2011-01-03,9,58,7,81,88,False
2011-01-03,10,59,11,33,44,False
2011-01-03,11,60,10,41,51,False
2011-01-03,12,61,13,48,61,False
2011-01-03,13,62,8,53,61,False
2011-01-03,14,63,11,66,77,False
2011-01-03,15,64,14,58,72,False
2011-01-03,16,65,9,67,76,False
2011-01-03,17,66,11,146,157,False
2011-01-03,18,67,9,148,157,False
2011-01-03,19,68,8,102,110,False
2011-01-03,20,69,3,49,52,False
2011-01-03,21,70,3,49,52,False
2011-01-03,22,71,0,20,20,False
2011-01-03,23,72,1,11,12,False
2011-01-04,0,73,0,5,5,False
2011-01-04,1,74,0,2,2,False
2011-01-04,2,75,0,1,1,False
2011-01-04,3,76,3,9,12,True
2011-01-04,4,77,0,2,2,False
2011-01-04,5,78,0,4,4,False
2011-01-04,6,79,0,36,36,False
2011-01-04,7,80,2,92,94,False
2011-01-04,8,81,2,177,179,False
2011-01-04,9,82,2,98,100,False
2011-01-04,10,83,5,37,42,False
2011-01-04,11,84,7,50,57,False
2011-01-04,12,85,12,66,78,False
2011-01-04,13,86,18,79,97,False
2011-01-04,14,87,9,54,63,False
2011-01-04,15,88,17,48,65,False
2011-01-04,16,89,15,68,83,False
2011-01-04,17,90,10,202,212,False
2011-01-04,18,91,3,179,182,False
2011-01-04,19,92,2,110,112,False
2011-01-04,20,93,1,53,54,False
2011-01-04,21,94,0,48,48,False
2011-01-04,22,95,1,34,35,False
2011-01-04,23,96,2,9,11,False
2011-01-05,0,97,0,6,6,False
2011-01-05,1,98,0,6,6,False
2011-01-05,2,99,0,2,2,False
2011-01-05,3,100,3,9,12,True
2011-01-05,4,101,0,2,2,False
2011-01-05,5,102,0,3,3,False
2011-01-05,6,103,0,33,33,False
2011-01-05,7,104,1,87,88,False
2011-01-05,8,105,3,192,195,False
2011-01-05,9,106,6,109,115,False
2011-01-05,10,107,4,53,57,False
2011-01-05,11,108,12,34,46,False
2011-01-05,12,109,5,74,79,False
2011-01-05,13,110,6,65,71,False
2011-01-05,14,111,10,52,62,False
2011-01-05,15,112,7,55,62,False
2011-01-05,16,113,4,85,89,False
2011-01-05,17,114,4,186,190,False
2011-01-05,18,115,3,166,169,False
2011-01-05,19,116,5,127,132,False
2011-01-05,20,117,7,82,89,False
2011-01-05,21,118,3,40,43,False
2011-01-05,22,119,1,41,42,False
2011-01-05,23,120,1,18,19,False
2011-01-06,0,121,0,11,11,False
2011-01-06,1,122,0,4,4,False
2011-01-06,2,123,0,2,2,False
2011-01-06,3,124,3,9,12,True
2011-01-06,4,125,0,1,1,False
2011-01-06,5,126,0,4,4,False
2011-01-06,6,127,0,36,36,False
2011-01-06,7,128,0,95,95,False
2011-01-06,8,129,3,216,219,False
2011-01-06,9,130,6,116,122,False
2011-01-06,10,131,3,42,45,False
2011-01-06,11,132,2,57,59,False
2011-01-06,12,133,6,78,84,False
2011-01-06,13,134,12,55,67,False
2011-01-06,14,135,11,59,70,False
2011-01-06,15,136,8,54,62,False
2011-01-06,16,137,12,74,86,False
2011-01-06,17,138,9,163,172,False
2011-01-06,18,139,5,158,163,False
2011-01-06,19,140,3,109,112,False
2011-01-06,20,141,3,66,69,False
2011-01-06,21,142,0,48,48,False
2011-01-06,22,143,1,51,52,False
2011-01-06,23,144,4,19,23,False
2011-01-07,0,145,4,13,17,False
2011-01-07,1,146,2,5,7,False
2011-01-07,2,147,0,1,1,False
2011-01-07,3,148,3,9,12,True
2011-01-07,4,149,0,1,1,False
2011-01-07,5,150,0,5,5,False
2011-01-07,6,151,8,26,34,False
2011-01-07,7,152,8,76,84,False
2011-01-07,8,153,20,190,210,False
2011-01-07,9,154,9,125,134,False
2011-01-07,10,155,16,47,63,False
2011-01-07,11,156,19,48,67,False
2011-01-07,12,157,9,50,59,False
2011-01-07,13,158,9,64,73,False
2011-01-07,14,159,7,43,50,False
2011-01-07,15,160,9,63,72,False
2011-01-07,16,161,5,82,87,False
2011-01-07,17,162,9,178,187,False
2011-01-07,18,163,7,116,123,False
2011-01-07,19,164,3,92,95,False
2011-01-07,20,165,1,50,51,False
2011-01-07,21,166,0,39,39,False
2011-01-07,22,167,2,34,36,False
2011-01-07,23,168,1,14,15,False
2011-01-08,0,169,1,24,25,False
2011-01-08,1,170,1,15,16,False
2011-01-08,2,171,3,13,16,False
2011-01-08,3,172,0,7,7,False
2011-01-08,4,173,0,1,1,False
2011-01-08,5,174,0,5,5,False
2011-01-08,6,175,0,2,2,False
2011-01-08,7,176,1,8,9,False
2011-01-08,8,177,0,15,15,False
2011-01-08,9,178,0,20,20,False
2011-01-08,10,179,5,56,61,False
2011-01-08,11,180,2,60,62,False
2011-01-08,12,181,8,90,98,False
2011-01-08,13,182,7,95,102,False
2011-01-08,14,183,12,83,95,False
2011-01-08,15,184,5,69,74,False
2011-01-08,16,185,8,68,76,False
2011-01-08,17,186,5,64,69,False
2011-01-08,18,187,3,52,55,False
2011-01-08,19,188,4,26,30,False
2011-01-08,20,189,0,28,28,False
2011-01-08,21,190,2,35,37,False
2011-01-08,22,191,1,33,34,False
2011-01-08,23,192,0,22,22,False
2011-01-09,0,193,1,24,25,False
2011-01-09,1,194,0,12,12,False
2011-01-09,2,195,0,11,11,False
2011-01-09,3,196,0,4,4,False
2011-01-09,4,197,0,1,1,False
2011-01-09,5,198,0,1,1,False
2011-01-09,6,199,0,1,1,False
2011-01-09,7,200,1,5,6,False
2011-01-09,8,201,0,10,10,False
2011-01-09,9,202,0,19,19,False
2011-01-09,10,203,0,49,49,False
2011-01-09,11,204,2,47,49,False
2011-01-09,12,205,4,79,83,False
2011-01-09,13,206,6,69,75,False
2011-01-09,14,207,8,64,72,False
2011-01-09,15,208,5,77,82,False
2011-01-09,16,209,13,79,92,False
2011-01-09,17,210,3,59,62,False
2011-01-09,18,211,4,44,48,False
2011-01-09,19,212,1,40,41,False
2011-01-09,20,213,0,38,38,False
2011-01-09,21,214,1,19,20,False
2011-01-09,22,215,5,10,15,False
